title,content,author,dynasty,scope
丑奴儿·书博山道中壁,"少年不识愁滋味，爱上层楼。爱上层楼。为赋新词强说愁。

而今识尽愁滋味，欲说还休。欲说还休。却道天凉好个秋。",辛弃疾,宋,180首诗词
卜算子·我住长江头,"我住长江头，君住长江尾。日日思君不见君，共饮长江水。

此水几时休，此恨何时已。只愿君心似我心，定不负相思意。",李之仪,宋,180首诗词
蝶恋花·庭院深深深几许,"庭院深深深几许，杨柳堆烟，帘幕无重数。玉勒雕鞍游冶处，楼高不见章台路。

雨横风狂三月暮，门掩黄昏，无计留春住。泪眼问花花不语，乱红飞过秋千去。",欧阳修,宋,180首诗词
一剪梅·舟过吴江,"一片春愁待酒浇。江上舟摇，楼上帘招。秋娘渡与泰娘桥，风又飘飘，雨又萧萧。

何日归家洗客袍？银字笙调，心字香烧。流光容易把人抛，红了樱桃，绿了芭蕉。",蒋捷,宋,180首诗词
玉楼春·春景,"东城渐觉风光好。縠皱波纹迎客棹。绿杨烟外晓寒轻，红杏枝头春意闹。

浮生长恨欢娱少。肯爱千金轻一笑。为君持酒劝斜阳，且向花间留晚照。",宋祁,宋,180首诗词
念奴娇·赤壁怀古,"大江东去，浪淘尽，千古风流人物。故垒西边，人道是，三国周郎赤壁。乱石穿空，惊涛拍岸，卷起千堆雪。江山如画，一时多少豪杰。

遥想公瑾当年，小乔初嫁了，雄姿英发。羽扇纶巾，谈笑间，樯橹灰飞烟灭。故国神游，多情应笑我，早生华发。人生如梦，一尊还酹江月。",苏轼,宋,180首诗词
破阵子·为陈同甫赋壮词以寄之,"醉里挑灯看剑，梦回吹角连营。八百里分麾下炙，五十弦翻塞外声。沙场秋点兵。

马作的卢飞快，弓如霹雳弦惊。了却君王天下事，赢得生前身后名。可怜白发生！",辛弃疾,宋,180首诗词
江城子·密州出猎,"老夫聊发少年狂，左牵黄，右擎苍，锦帽貂裘，千骑卷平冈。为报倾城随太守，亲射虎，看孙郎。

酒酣胸胆尚开张，鬓微霜，又何妨！持节云中，何日遣冯唐？会挽雕弓如满月，西北望，射天狼。",苏轼,宋,180首诗词
定风波·莫听穿林打叶声,"莫听穿林打叶声，何妨吟啸且徐行。竹杖芒鞋轻胜马，谁怕？一蓑烟雨任平生。

料峭春风吹酒醒，微冷，山头斜照却相迎。回首向来萧瑟处，归去，也无风雨也无晴。",苏轼,宋,180首诗词
南乡子·登京口北固亭有怀,"何处望神州？满眼风光北固楼。千古兴亡多少事？悠悠。不尽长江滚滚流。

年少万兜鍪，坐断东南战未休。天下英雄谁敌手？曹刘。生子当如孙仲谋。",辛弃疾,宋,180首诗词
酹江月·和友驿中言别,"乾坤能大，算蛟龙元不是池中物。
风雨牢愁无著处，那更寒蛩四壁。
横槊题诗，登楼作赋，万事空中雪。
江流如此，方来还有英杰。

堪笑一叶漂零，重来淮水，正凉风新发。
镜里朱颜都变尽，只有丹心难灭。
去去龙沙，江山回首，一线青如发。
故人应念，杜鹃枝上残月。",文天祥,宋,180首诗词
诉衷情·当年万里觅封侯,"当年万里觅封侯，匹马戍梁州。关河梦断何处？尘暗旧貂裘。

胡未灭，鬓先秋，泪空流。此生谁料，心在天山，身老沧洲。",陆游,宋,180首诗词
鹧鸪天·西都作,"我是清都山水郎，天教分付与疏狂。
曾批给雨支风券，累上留云借月章。

诗万首，酒千觞。几曾着眼看侯王？
玉楼金阙慵归去，且插梅花醉洛阳。",朱敦儒,宋,180首诗词
满江红·写怀,"怒发冲冠，凭栏处、潇潇雨歇。抬望眼，仰天长啸，壮怀激烈。三十功名尘与土，八千里路云和月。莫等闲，白了少年头，空悲切！

靖康耻，犹未雪。臣子恨，何时灭！驾长车，踏破贺兰山缺。壮志饥餐胡虏肉，笑谈渴饮匈奴血。待从头、收拾旧山河，朝天阙。",岳飞,宋,180首诗词
浪淘沙令·伊吕两衰翁,"伊吕两衰翁，历遍穷通。一为钓叟一耕佣。若使当时身不遇，老了英雄。

汤武偶相逢，风虎云龙。兴王只在谈笑中。直至如今千载后，谁与争功！",王安石,宋,180首诗词
虞美人·春花秋月何时了,"春花秋月何时了？往事知多少。小楼昨夜又东风，故国不堪回首月明中。

雕栏玉砌应犹在，只是朱颜改。问君能有几多愁？恰似一江春水向东流。",李煜,五代,180首诗词
相见欢·无言独上西楼,"无言独上西楼，月如钩。寂寞梧桐深院锁清秋。

剪不断，理还乱，是离愁。别是一般滋味在心头。",李煜,五代,180首诗词
浪淘沙令·帘外雨潺潺,"帘外雨潺潺，春意阑珊。罗衾不耐五更寒。梦里不知身是客，一晌贪欢。

独自莫凭栏，无限江山，别时容易见时难。流水落花春去也，天上人间。",李煜,五代,180首诗词
